3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,"Rolling mean, w=40","Rolling mean, w=10","Weighted rolling mean, a=0.05",,
66,112,18,293,142,343,32,279,72,2698,88,2,15,8,1,11,81,2,70,6,1963,14,101.975,82.2,88.69002215,0.06,
69,105,26,276,115,519,19,318,60,4205,83,3,7,8,17,27,176,13,39,12,1507,5,100.1,78.3,87.50862082,0.06,
63,107,24,288,105,630,39,302,60,5329,85,6,2,2,12,10,111,20,16,0,1124,2,97.825,74.2,86.03810357,0.06,
61,105,22,291,99,930,27,185,63,5920,82,2,2,2,3,6,300,12,117,3,591,3,95.65,71.5,84.53581736,0.06,
68,118,21,304,103,1129,33,171,60,5948,85,7,13,1,13,4,199,6,14,3,28,3,93.75,69.3,83.54366832,0.06,
64,106,22,325,88,1306,28,131,60,5908,91,4,12,1,21,15,177,5,40,0,40,6,91.8,67.7,82.37104822,0.06,
63,98,20,346,84,1377,29,129,71,5567,95,1,8,2,21,4,71,1,2,11,341,4,90,66.6,81.20878532,0.06,
71,101,26,364,81,1614,32,111,73,5277,104,8,3,6,18,3,237,3,18,2,290,9,88.5,65.8,80.59625821,0.06,
77,99,27,375,65,2051,32,127,68,5016,93,6,2,1,11,16,437,0,16,5,261,11,86.975,66.6,80.38048271,0.06,
55,104,26,363,68,2183,31,112,63,4561,75,22,5,1,12,3,132,1,15,5,455,18,85,65.7,78.85765375,0.06,
53,98,28,356,66,2651,20,108,67,4187,80,2,6,2,7,2,468,11,4,4,374,5,82.9,64.4,77.30619453,0.06,
57,91,24,363,71,2875,31,108,55,3952,92,4,7,4,7,5,224,11,0,12,235,12,81.025,63.2,76.08782285,0.06,
56,89,23,346,72,3245,30,116,59,3691,88,1,2,1,17,1,370,1,8,4,261,4,79.4,62.5,74.88255348,0.06,
48,79,25,335,70,3408,31,112,54,3561,83,8,10,2,11,2,163,1,4,5,130,5,77.6,61.2,73.26960027,0.06,
50,86,19,327,67,4398,31,114,52,2730,101,2,7,6,8,3,990,0,2,2,831,18,76.35,59.4,71.87342426,0.06,
48,83,13,333,54,4788,32,119,48,2121,71,2,3,6,6,13,390,1,5,4,609,30,75.225,57.8,70.4410188,0.06,
39,83,19,321,58,4888,27,128,57,1711,66,9,0,6,12,4,100,5,9,9,410,5,74.15,55.4,68.55455767,0.06,
58,85,23,343,58,4785,36,125,61,1431,62,19,2,4,22,0,103,9,3,4,280,4,73.25,54.1,67.92128421,0.06,
57,86,19,344,74,4560,37,140,56,1123,54,1,1,4,1,16,225,1,15,5,308,8,72.7,52.1,67.26600716,0.06,
55,76,17,349,80,4204,31,144,53,937,57,2,10,2,5,6,356,6,4,3,186,3,72.25,52.1,66.53004673,0.06,
57,78,21,324,89,3692,26,138,60,840,60,2,2,4,25,9,512,5,6,7,97,3,71.675,52.5,65.95824393,0.06,
59,77,23,299,80,3416,32,149,60,839,57,2,1,2,25,9,276,6,11,0,1,3,71.05,52.7,65.54074929,0.06,
